Pot;Date;DAI;wheat_type;variety;Aph;Severity;Biomass;Inoculate;Gw;Nog;Noe;Eph;Evol;Parea;Prop10;Prop20;Prop30;Prop40;Prop50;Int50;Int40;Int30;Int20;Int10
M1;4/2/21;3;Durum;Don Ricardo;82,00;;67,30;0,00;33,40;643,00;15,00;0,88;0,06;0,18;349,00;697,00;1045,00;1393,00;1742,00;39,55;40,98;40,84;40,86;33,23
M2;4/2/21;3;Durum;Kiko Nick;78,00;;26,00;1,00;10,60;308,00;9,00;0,77;0,07;0,18;219,00;437,00;655,00;873,00;1092,00;29,03;31,84;34,41;35,93;36,43
M3;4/2/21;3;Durum;Amilcar;68,00;;55,40;0,00;30,70;721,00;12,00;0,66;0,04;0,16;199,00;398,00;597,00;796,00;995,00;34,78;38,85;42,78;44,89;40,77
M4;4/2/21;3;Durum;Don Ricardo;78,00;;50,50;1,00;22,20;454,00;11,00;0,79;0,06;0,18;223,00;445,00;668,00;890,00;1113,00;40,24;40,90;40,64;43,37;44,53
M5;4/2/21;3;Durum;Amilcar;72,00;;39,80;0,00;19,60;540,00;11,00;0,724;0,083;0,217;269;538;806;1075;1343;30,11;31,99;35,79;43,19;44,17
M6;4/2/21;3;Durum;Kiko Nick;70,00;;33,10;1,00;15,00;398,00;11,00;0,767;0,058;0,158;221;441;662;882;1103;25,05;27,04;29,22;32,71;33,88
M7;4/2/21;3;Durum;Don Ricardo;74,00;;44,10;0,00;20,50;478,00;12,00;0,767;0,067;0,214;232;463;694;925;1156;36,65;40,6;44,02;46,95;56,57
M8;4/2/21;3;Durum;Amilcar;70,00;;36,20;1,00;16,10;475,00;8,00;0,558;0,05;0,145;115;229;344;458;573;24,63;26,27;29,61;35,6;40,28
M9;4/2/21;3;Durum;Kiko Nick;76,00;;39,10;1,00;16,50;438,00;12,00;0,779;0,074;0,259;1528;3055;4582;6110;7637;39,49;41,15;42,31;41,93;43,66
M10;4/2/21;3;Durum;Amilcar;68,00;;34,80;1,00;14,60;374,00;8,00;0,605;0,072;0,22;338;676;1014;1351;1689;21,16;22,01;23,8;28,01;33,63
M11;4/2/21;3;Durum;Don Ricardo;72,00;;55,60;0,00;28,80;574,00;13,00;0,877;0,093;0,23;319;638;957;1276;1595;38;40,22;42,03;40,41;38,71
M12;4/2/21;3;Durum;Kiko Nick;70,00;;25,80;1,00;11,00;314,00;8,00;0,602;0,035;0,089;108;216;323;431;538;30,26;32,63;35,24;37,67;39,56
M13;4/2/21;3;Durum;Don Ricardo;74,00;;44,40;1,00;18,80;384,00;8,00;0,781;0,071;0,274;1378;2756;4134;5512;6890;37,86;39,54;39,91;40,57;41,11
M14;4/2/21;3;Durum;Amilcar;69,00;;57,40;0,00;29,40;683,00;10,00;0,629;0,098;0,273;645;1290;1935;2580;3225;26,88;29,41;33,45;39,41;46,09
M15;4/2/21;3;Durum;Kiko Nick;69,00;;64,10;0,00;29,80;660,00;15,00;0,711;0,099;0,245;300;600;899;1199;1498;28,89;30,33;31,94;35,05;33,11
M16;4/2/21;3;Durum;Don Ricardo;73,00;;55,40;0,00;23,90;497,00;12,00;0,726;0,027;0,095;188;376;564;752;940;38,21;39,85;42,67;44,47;47,72
